ACARA ID,School Name,Suburb,Postcode,Type,Geolocation,Latitude,Longitude,BE Score,School Sector,Campus Type,Governing Body,ICSEA,Bottom SEA Quarter (%),Lower Middle SEA Quarter (%),Upper Middle SEA Quarter (%),Top SEA Quarter (%),Teaching Staff,Full Time Equivalent Teaching Staff,Non-Teaching Staff,Full Time Equivalent Non-Teaching Staff,Total Enrolments,Girls Enrolments,Boys Enrolments,Full Time Equivalent Enrolments,Indigenous Enrolments (%),Language Background Other Than English (%),State
41142,Newtown Public School,Newtown,2042,Primary,Major Cities,-33.9,151.179,91,Government,School Single Entity,Department of Education NSW,1133,3,10,25,62,17,21,3,3.1,417,205,212,417,2,23,NSW
41620,Burnside Public School,North Parramatta,2151,Primary,Major Cities,-33.7926,151.018,89,Government,School Single Entity,Department of Education NSW,1096,6,18,32,44,13,13.3,3,2.4,250,118,132,250,1,62,NSW
41143,Paddington Public School,Paddington,2021,Primary,Major Cities,-33.8876,151.23,92,Government,School Single Entity,Department of Education NSW,1138,2,8,27,64,14,16.6,3,2.5,291,146,145,291,1,39,NSW
42967,Buronga Public School,Buronga,2739,Primary,Outer Regional,-34.1695,142.181,68,Government,School Single Entity,Department of Education NSW,840,70,20,9,1,9,7.5,3,2.6,107,57,50,107,42,0,NSW
41144,Rozelle Public School,Rozelle,2039,Primary,Major Cities,-33.8626,151.17,93,Government,School Single Entity,Department of Education NSW,1153,1,6,23,70,31,35.8,5,5.3,632,307,325,632,1,19,NSW
41145,Stanmore Public School,Stanmore,2048,Primary,Major Cities,-33.8955,151.165,90,Government,School Single Entity,Department of Education NSW,1117,4,13,29,54,33,33.7,5,4.1,636,313,323,636,1,28,NSW
42745,Burrawang Public School,Burrawang,2577,Primary,Inner Regional,-34.5928,150.516,,Government,School Single Entity,Department of Education NSW,1083,2,23,48,27,2,2.5,2,0.9,35,21,14,35,0,14,NSW
41146,Woollahra Public School,Woollahra,2025,Primary,Major Cities,-33.8864,151.241,100,Government,School Single Entity,Department of Education NSW,1177,1,4,18,77,36,40.4,5,4.7,767,363,404,767,0,44,NSW
42428,Burren Junction Public School,Burren Junction,2386,Primary,Remote,-30.1027,148.965,88,Government,School Single Entity,Department of Education NSW,976,36,34,18,12,3,3.6,2,1.4,39,25,14,39,13,5,NSW
42164,Burringbar Public School,Burringbar,2483,Primary,Inner Regional,-28.4366,153.467,91,Government,School Single Entity,Department of Education NSW,965,43,33,19,5,2,4,3,1.5,55,23,32,55,11,13,NSW
42555,Burrumbuttock Public School,Burrumbuttock,2642,Primary,Inner Regional,-35.8375,146.8,,Government,School Single Entity,Department of Education NSW,954,45,34,18,3,2,2.5,2,1,30,10,20,30,10,0,NSW
41369,Burwood Public School,Burwood,2134,Primary,Major Cities,-33.8768,151.099,97,Government,School Single Entity,Department of Education NSW,1091,8,17,34,41,36,40.7,3,4.1,573,312,261,573,0,97,NSW
41474,Busby Public School,Busby,2168,Primary,Major Cities,-33.9116,150.881,68,Government,School Single Entity,Department of Education NSW,876,75,18,5,2,20,24,4,3.5,267,123,144,267,16,63,NSW
41481,Busby West Public School,Green Valley,2168,Primary,Major Cities,-33.9061,150.874,68,Government,School Single Entity,Department of Education NSW,908,69,22,8,2,31,31.2,13,12.2,355,157,198,355,11,74,NSW
41370,Buxton Public School,Buxton,2571,Primary,Inner Regional,-34.247,150.545,71,Government,School Single Entity,Department of Education NSW,954,46,34,17,3,8,10.4,2,2,173,91,82,173,11,2,NSW
42166,Byron Bay Public School,Byron Bay,2481,Primary,Inner Regional,-28.6474,153.615,89,Government,School Single Entity,Department of Education NSW,1068,8,26,35,31,33,35.7,6,4.3,651,291,360,651,3,21,NSW
42167,Cabbage Tree Island Public School,Cabbage Tree Island,2477,Primary,Inner Regional,-28.9837,153.458,,Government,School Single Entity,Department of Education NSW,687,87,11,1,0,2,3.1,3,1.9,29,14,15,29,100,7,NSW
41371,Cabramatta Public School,Cabramatta,2166,Primary,Major Cities,-33.8958,150.943,81,Government,School Single Entity,Department of Education NSW,946,57,27,12,4,52,48.6,12,7.3,685,333,352,685,1,95,NSW
41441,Cabramatta West Public School,Cabramatta,2166,Primary,Major Cities,-33.8963,150.923,74,Government,School Single Entity,Department of Education NSW,943,60,25,11,4,40,39.1,8,7,537,256,281,537,0,91,NSW
41780,Caddies Creek Public School,Glenwood,2768,Primary,Major Cities,-33.7363,150.926,96,Government,School Single Entity,Department of Education NSW,1110,7,13,30,51,52,59.4,9,9.3,1066,520,546,1066,0,73,NSW
43080,Calare Public School,Orange,2800,Primary,Inner Regional,-33.2869,149.079,79,Government,School Single Entity,Department of Education NSW,972,38,29,22,11,29,36.2,7,5.1,615,308,307,615,13,7,NSW
42893,Callala Public School,Callala Bay,2540,Primary,Inner Regional,-34.996,150.714,76,Government,School Single Entity,Department of Education NSW,948,47,31,16,5,10,11.4,5,2.1,190,85,105,190,14,8,NSW
42746,Cambewarra Public School,Cambewarra,2540,Primary,Inner Regional,-34.8215,150.556,86,Government,School Single Entity,Department of Education NSW,1015,23,31,29,17,15,16.3,3,2.6,266,145,121,266,9,5,NSW
41755,Cambridge Gardens Public School,Cambridge Park,2747,Primary,Major Cities,-33.7372,150.722,72,Government,School Single Entity,Department of Education NSW,958,43,33,18,6,25,27,5,3.4,477,220,257,477,14,19,NSW
41693,Cambridge Park Public School,Cambridge Park,2747,Primary,Major Cities,-33.747,150.726,71,Government,School Single Entity,Department of Education NSW,919,59,27,11,3,34,36.9,13,10.3,556,255,301,556,16,17,NSW
42536,Barellan Central School,Barellan,2665,Combined,Outer Regional,-34.2878,146.572,,Government,School Single Entity,Department of Education NSW,936,54,24,15,6,14,13,6,5.4,100,42,58,100,8,5,NSW
41372,Camden Public School,Camden,2570,Primary,Major Cities,-34.052,150.693,85,Government,School Single Entity,Department of Education NSW,1024,19,31,32,18,20,20.8,6,5.9,304,148,156,304,8,9,NSW
41465,Camden South Public School,Camden,2570,Primary,Major Cities,-34.0697,150.696,83,Government,School Single Entity,Department of Education NSW,1029,20,31,30,19,39,41.2,9,7.7,756,366,390,756,4,13,NSW
41203,Cammeray Public School,Cammeray,2062,Primary,Major Cities,-33.8204,151.212,100,Government,School Single Entity,Department of Education NSW,1183,1,4,16,79,44,45.3,7,5.2,888,454,434,888,1,27,NSW
41493,Campbellfield Public School,Minto,2566,Primary,Major Cities,-34.0377,150.847,74,Government,School Single Entity,Department of Education NSW,948,45,28,20,7,15,20.2,6,6.5,304,151,153,304,14,62,NSW
41463,Campbelltown East Public School,Campbelltown,2560,Primary,Major Cities,-34.0723,150.832,70,Government,School Single Entity,Department of Education NSW,917,60,25,12,2,24,28.2,8,6.9,346,162,184,346,16,36,NSW
41456,Campbelltown North Public School,Campbelltown,2560,Primary,Major Cities,-34.0612,150.827,71,Government,School Single Entity,Department of Education NSW,956,49,27,17,6,22,24.8,7,5.9,378,183,195,378,6,47,NSW
41373,Campbelltown Public School,Campbelltown,2560,Primary,Major Cities,-34.0701,150.816,69,Government,School Single Entity,Department of Education NSW,943,56,26,14,4,17,21.7,5,2.9,351,166,185,351,6,58,NSW
41374,Campsie Public School,Campsie,2194,Primary,Major Cities,-33.9119,151.105,93,Government,School Single Entity,Department of Education NSW,1028,25,26,30,19,47,47.2,5,4.3,700,340,360,700,1,98,NSW
